Sample number,Monoisotopic mass,Intensity,RT_start,RT_finish
3,11498.244,6.96E+06,50.247,53.985
4,11498.243,1.38E+07,53.008,56.734
1,11498.243,6.32E+05,51.493,54.238
2,11498.241,8.95E+05,49.756,51.49
4,11496.293,1.18E+07,68.251,70.739
3,11496.291,2.01E+07,66.49,69.222
1,11496.289,1.18E+07,66.998,70.229
2,11496.289,1.44E+07,64.258,66.47
2,11370.378,3.81E+06,69.506,71.487
2,11361.963,3.24E+06,74.008,75.734
1,11361.957,3.33E+06,79.754,81.985
2,11354.381,1.20E+07,70.748,73.234
3,11354.379,9.47E+06,72.996,75.233
4,11354.377,4.67E+06,74.247,76.485
2,11338.385,6.76E+06,71.998,74.235
3,11338.384,1.50E+07,74.24,76.473
4,11338.382,6.57E+06,76.008,77.984
2,11304.134,1.28E+06,57.501,59.478
3,11272.138,2.07E+06,66.49,68.223
1,11231.103,1.73E+06,115.502,117.24
2,11188.09,2.67E+06,94.75,96.236
1,11173.187,1.25E+07,115.756,117.483
2,11173.1,7.37E+05,95.245,96.986
2,11147.174,5.33E+06,90.004,93.474
1,11147.173,1.92E+06,98.005,99.483
2,11131.179,1.59E+07,90.746,94.982
1,11131.178,1.11E+07,97.753,101.226
3,11131.177,2.49E+07,92.251,96.736
4,11130.224,2.27E+06,73.992,75.728
4,11114.229,1.78E+06,74.748,76.485
4,11044.964,6.41E+05,50.755,52.736
3,11044.958,5.84E+05,46.493,48.728
2,11044.956,4.57E+05,46.749,48.477
4,11028.97,5.43E+05,51.498,53.222
3,11028.963,9.90E+05,48.255,50.735
2,11012.026,7.97E+06,87.998,90.227
3,10996.037,2.13E+06,79.5,81.221
2,10996.03,5.99E+06,90.241,92.484
3,10995.028,4.61E+06,91.5,93.234
1,10980.957,1.44E+06,63.005,64.983
2,10980.951,2.45E+06,60.501,62.478
1,10980.048,2.18E+06,83.002,85.482
3,10980.046,4.21E+06,81,82.98
3,10980.041,3.69E+06,93.492,95.734
1,10964.954,2.35E+06,63.995,65.978
2,10964.952,1.40E+06,61.498,63.227
4,10964.943,2.20E+07,99.249,102.24
3,10964.941,2.62E+07,98.005,100.978
2,10964.939,2.97E+07,97.995,102.473
1,10964.055,8.34E+05,83.249,84.973
2,10964.048,9.07E+05,91.751,93.232
1,10964.045,7.97E+05,98.259,99.983
1,10948.955,2.14E+06,116.006,117.983
4,10948.949,2.96E+07,98.255,102.74
3,10948.942,4.41E+07,97.754,101.73
2,10948.941,2.47E+07,98.493,103.479
1,10939.02,1.16E+07,99.749,106.239
1,10939.017,6.06E+06,88.254,91.233
2,10939.016,1.36E+07,83.246,85.486
3,10939.014,2.32E+07,85.247,88.234
4,10939.007,2.58E+06,96.247,98.237
4,10923.026,4.49E+06,87.749,89.736
3,10923.024,3.21E+07,86.241,88.978
1,10923.024,8.96E+06,114.498,116.731
2,10923.023,6.35E+07,92.254,97.976
1,10923.023,4.50E+07,99.004,107.974
1,10923.021,1.02E+07,89.495,92.24
2,10923.02,2.42E+07,83.994,86.733
3,10923.018,7.93E+07,94.997,98.973
4,10923.017,1.87E+07,96.503,99.474
3,10922.027,2.11E+06,94,95.49
3,10908.012,2.77E+06,99.495,100.978
4,10907.031,2.45E+07,97.501,100.237
1,10907.027,3.33E+07,100.003,103.987
1,10907.026,2.15E+07,115.246,117.983
2,10907.022,9.14E+07,94.75,98.723
3,10907.019,1.82E+08,95.75,101.227
3,10897.576,4.70E+05,37.491,39.476
2,10897.572,8.56E+05,37.242,39.98
1,10897.568,5.84E+05,39.251,41.723
2,10858.856,7.60E+06,67.75,70.228
1,10858.854,5.42E+06,72.005,75.237
4,10853.603,2.10E+06,84.75,86.226
3,10853.602,2.74E+06,83.001,84.48
2,10853.602,7.73E+06,80.743,82.728
1,10853.598,2.09E+06,88.744,91.233
1,10842.86,3.78E+06,73.005,76.223
1,10842.856,7.68E+06,88.744,94.484
2,10840.107,5.52E+05,65.993,67.481
1,10840.102,1.36E+06,70.249,72.985
3,10837.606,6.19E+06,83.491,85.227
2,10837.606,6.22E+06,81.255,83.231
1,10837.602,2.33E+06,89.748,92.24
4,10833.823,8.97E+06,77.492,79.975
1,10817.834,1.66E+07,75.492,80.974
3,10817.83,5.69E+07,72.996,79.735
4,10817.824,8.28E+07,73.992,82.224
3,10801.841,3.45E+08,70.248,81.221
2,10801.84,5.55E+08,70.498,80.237
1,10801.84,3.77E+08,74.996,97.233
4,10801.836,2.38E+08,73.992,82.73
2,10799.913,3.36E+05,39.999,41.48
1,10799.907,3.99E+05,41.253,42.986
1,10797.83,1.70E+06,63.005,64.983
2,10797.826,2.69E+06,60.501,62.478
3,10797.824,1.65E+06,63.006,64.738
4,10788.78,3.54E+06,65.996,68.234
2,10785.84,4.15E+08,73.502,80.727
3,10785.839,4.97E+08,75.494,81.98
1,10785.837,3.86E+08,82.257,99.483
4,10785.837,2.61E+08,77.253,83.238
1,10783.907,3.81E+05,41.996,43.725
1,10772.79,1.97E+06,64.748,66.726
4,10772.787,7.33E+06,65.743,68.725
3,10772.785,6.33E+06,64.507,66.729
2,10772.785,2.01E+06,62.248,63.738
3,10770.822,1.32E+07,77.004,80.487
4,10770.815,4.83E+06,79.002,81.726
1,10770.813,4.33E+06,91.758,95.227
2,10770.811,1.06E+07,74.754,78.486
1,10756.794,3.23E+07,63.257,67.982
2,10756.792,5.71E+07,61.749,65.226
3,10756.792,3.33E+07,63.251,67.485
4,10756.791,2.08E+07,64.5,68.98
3,10741.81,6.63E+06,76.745,79.991
4,10741.803,3.14E+06,78.759,81.228
2,10741.796,6.50E+06,74.754,77.989
3,10740.794,5.15E+07,63.006,67.979
4,10740.792,1.03E+07,99.249,101.738
1,10740.789,3.54E+07,62.754,68.729
2,10740.78,4.62E+07,60.501,65.492
1,10729.771,2.16E+06,91.758,94.23
2,10728.771,2.24E+06,76.005,77.493
4,10724.792,9.50E+06,99.493,101.973
1,10715.773,9.36E+05,92.253,93.725
2,10713.761,2.23E+06,75.506,77.493
3,10708.743,2.03E+06,75.759,77.22
4,10698.863,2.12E+07,95.999,98.973
3,10682.872,1.04E+07,95.75,97.744
4,10682.87,2.95E+07,96.503,99.474
2,10677.712,6.63E+07,76.259,81.981
1,10677.71,2.78E+07,88.499,96.727
3,10676.712,6.05E+06,78.25,80.487
1,10672.973,2.54E+06,68.999,71.479
3,10662.323,1.42E+06,50.247,52.233
3,10661.706,1.68E+07,78.998,82.737
1,10661.704,3.51E+07,89.495,97.734
2,10661.703,5.22E+07,76.503,82.234
4,10661.702,5.73E+06,81.246,83.488
2,10654.784,1.14E+07,74.252,77.493
3,10654.779,8.50E+06,76.745,79.735
2,10653.783,2.03E+06,76.744,78.225
4,10634.701,1.55E+06,77.492,78.985
2,10632.652,2.84E+06,64.004,65.973
2,10631.946,4.86E+07,66.248,70.48
3,10631.942,3.29E+06,69.993,71.988
1,10631.94,3.61E+07,67.756,74.731
2,10630.475,2.03E+05,35.249,37.482
4,10630.474,1.68E+05,38.755,40.479
3,10618.694,3.24E+06,76.002,77.485
3,10615.944,4.08E+07,70.248,72.987
2,10615.942,1.99E+08,66.992,71.978
1,10615.941,1.64E+08,68.999,77.231
4,10615.938,4.82E+06,72.253,74.227
3,10614.481,3.31E+05,35.497,37.726
4,10614.48,4.08E+05,39.246,41.239
2,10614.478,3.63E+05,35.748,38.233
1,10613.475,1.57E+05,37.495,39.231
2,10603.693,2.20E+06,76.503,78.225
2,10600.927,6.87E+06,67.993,70.48
4,10593.681,4.27E+07,73.992,80.982
3,10587.694,1.69E+06,78.998,80.487
2,10577.688,9.34E+06,74.008,76.495
3,10577.688,4.55E+07,73.748,80.231
1,10577.688,1.71E+06,87.992,90.727
4,10577.687,1.43E+08,74.247,82.224
2,10575.758,2.48E+06,39.999,42.722
3,10575.756,1.01E+06,40.494,42.476
1,10575.753,2.02E+06,41.506,43.977
2,10571.91,1.75E+06,68.251,69.983
1,10570.909,9.95E+05,72.244,74.237
3,10561.692,7.37E+07,75.759,80.72
